A00001,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",,,"arm/arms raised, kneeling, sitting, man, man, old, blessing",date not known
A00598,title not known,"Graphite, gouache and ink on paper",,,"basket, fishing net, hat, cap, boy, girl, man, woman, pulling, sitting, fisherman / fisherwoman",date not known
,,,,,,
A00599,title not known,Watercolour on paper,,,"basket, bending forward, standing, man, horse",date not known
,,,,,,
A00600,title not known,Watercolour on paper,,,"cottage, garden, man, woman, sitting, standing, talking, staff, wooded",date not known
,,,,,,
A00601,title not known,Watercolour on paper,,,"back, standing, woman, chair, plant pot, interior - non-specific, plant, window",date not known
,,,,,,
A00602,title not known,Graphite and ink on paper,,,"man, sitting",date not known
,,,,,,
A00603,title not known,Ink on paper,,,"back, carrying, child, walking, woman",date not known
,,,,,,
A00604,title not known,Graphite and gouache on paper,,,"artist, painter, chair, stool, table, easel, palette, hat, bonnet, painting, sitting, woman",date not known
,,,,,,
A00605,title not known,"Ink, watercolour and graphite on paper",,,"boat, sailing, man, sitting",date not known
,,,,,,
A00606,title not known,Graphite and ink on paper,,,"apron, girl, group, woman, playing",date not known
,,,,,,
A00607,title not known,Watercolour and ink on paper,,,"man, sitting",date not known
,,,,,,
A00608,title not known,Ink and graphite on paper,,,"basket, girl, sitting, woman",date not known
,,,,,,
A00609,title not known,Graphite on paper,,,"boat, sailing, ship, sailing",date not known
,,,,,,
A00610,title not known,Ink on paper,,,"man, standing",date not known
,,,,,,
A00611,title not known,Ink and graphite on paper,,,"cane, man, woman, sitting",date not known
,,,,,,
A00612,title not known,Ink on paper,,,"basket, horse, riding, woman",date not known
,,,,,,
A00613,title not known,Ink and graphite on paper,,,"carrying, man, walking",date not known
,,,,,,
A00614,title not known,Graphite and ink on paper,,,"barrel, cart, figure",date not known
,,,,,,
A00615,title not known,Ink and graphite on paper,,,"man, sitting",date not known
,,,,,,
A00616,title not known,Ink and graphite on paper,,,"man, reclining, sleeping",date not known
,,,,,,
A00617,title not known,Ink and graphite on paper,,,"dog - non-specific, horse, harness",date not known
,,,,,,
A00618,title not known,Ink and graphite on paper,,,"bayonet, gun, rifle, man, standing, soldier",date not known
,,,,,,
A00619,title not known,"Ink, watercolour and graphite on paper",,,"arch, child, sitting, woman, reading",date not known
,,,,,,
A00620,title not known,Ink and graphite on paper,,,"head in hand/hands, sitting, sleeping, woman",date not known
,,,,,,
A00621,title not known,Ink and graphite on paper,,,"cart, horse",date not known
,,,,,,
A00622,title not known,Ink and graphite on paper,,,"carrying, hand/hands on hip, standing, woman",date not known
,,,,,,
A00623,title not known,"Watercolour, ink and graphite on paper",,,"carrying, child, man, walking",date not known
,,,,,,
A00624,title not known,Ink and graphite on paper,,,"cart, horse, man",date not known
,,,,,,
A00625,title not known,"Ink, watercolour and graphite on paper",,,"carriage, horse",date not known
,,,,,,
A00626,title not known,"Watercolour, ink and graphite on paper",,,"cup / mug, tap, urn, standing, woman, trader",date not known
,,,,,,
A00627,title not known,Ink on paper,,,"cup / mug, tap, urn, man, standing, trader",date not known
,,,,,,
A00628,title not known,Ink and graphite on paper,,,"back, man, pointing, standing, bag",date not known
,,,,,,
A00629,title not known,Ink and graphite on paper,,,"bending forward, standing, boy, girl, holding hands, playing",date not known
,,,,,,
A00630,title not known,Ink and graphite on paper,,,"man, sitting",date not known
,,,,,,
A00631,title not known,Ink and graphite on paper,,,"man, walking",date not known
,,,,,,
A00632,title not known,Ink and graphite on paper,,,"basket, umbrella, sitting, woman",date not known
,,,,,,
A00633,title not known,Ink and graphite on paper,,,"barrel, basket, carrying, group, standing, woman",date not known
,,,,,,
A00634,title not known,Ink and graphite on paper,,,"basket, carrying, group, standing, woman",date not known
,,,,,,
A00635,title not known,Graphite on paper,,,"bench, group, man, sitting",date not known
,,,,,,
A00636,title not known,Ink and graphite on paper,,,"boat, fishing, boat, sailing",date not known
,,,,,,
A00637,title not known,Ink and watercolour on paper,,,"carriage, figure, horse",date not known
,,,,,,
A00638,title not known,"Graphite, gouache and ink on paper",,,"sitting, woman",date not known
,,,,,,
A00639,title not known,"Ink, graphite and watercolour on paper",,,"girl, lying down, sitting, woman, mother and child",date not known
,,,,,,
A00640,title not known,"Ink, graphite and watercolour on paper",,,"child, reclining, woman, mother and child",date not known
,,,,,,
A00641,title not known,Graphite and ink on paper,,,"chair, hat, group, kneeling, sitting, man, woman",date not known
,,,,,,
A00642,title not known,Ink and graphite on paper,,,"child, woman, mother and child",date not known
,,,,,,
A00643,title not known,Graphite and gouache on paper,,,"cane, hat, man, woman, sitting",date not known
,,,,,,
A00644,title not known,Graphite and ink on paper,,,"cart, donkey, man",date not known
,,,,,,
A00645,title not known,Ink on paper,,,"boat, sailing, figure, group",date not known
,,,,,,
A00646,title not known,"Ink, graphite and watercolour on paper",,,"chair, hat, woman",date not known
,,,,,,
A00647,title not known,Ink and watercolour on paper,,,"window, woman",date not known
,,,,,,
A00648,title not known,Ink and graphite on paper,,,"male, man, sitting",date not known
,,,,,,
A00649,title not known,Ink and graphite on paper,,,"baby, man, woman, sitting, donkey, mother and child",date not known
,,,,,,
A00650,title not known,"Ink, watercolour and graphite on paper",,,"horse, man, riding, soldier",date not known
,,,,,,
A00651,title not known,Ink and graphite on paper,,,"doll, girl, sitting",date not known
,,,,,,
A00652,title not known,Ink and graphite on paper,,,"donkey, pack animal, riding, talking, woman",date not known
,,,,,,
A00653,title not known,Ink and graphite on paper,,,"hammer, hand/hands on hip, standing, man",date not known
,,,,,,
A00654,title not known,"Watercolour, graphite and ink on paper",,,"boat, barge, boatman, man",date not known
,,,,,,
A00655,title not known,Watercolour and ink on paper,,,"boat, barge, crane, figure",date not known
,,,,,,
A00656,title not known,Ink and graphite on paper,,,"interior - non-specific, man, sitting",date not known
,,,,,,
A00657,title not known,Graphite and ink on paper,,,"man, standing, townscape, distant",date not known
,,,,,,
A00658,title not known,"Ink, graphite and watercolour on paper",,,"ship, sailing",date not known
,,,,,,
A00659,title not known,"Watercolour, graphite and ink on paper",,,"boy, reclining",date not known
,,,,,,
A00660,title not known,Ink and graphite on paper,,,"man, sitting, standing",date not known
,,,,,,
A00661,title not known,Ink and watercolour on paper,,,"boy, man, standing",date not known
,,,,,,
A00662,title not known,Graphite and gouache on paper,,,"boat, barge, figure, group, flag - non-specific",date not known
,,,,,,
A00663,title not known,Graphite and gouache on paper,,,"sitting, woman",date not known
,,,,,,
A00664,title not known,Ink and graphite on paper,,,"boy, kneeling, reclining, man",date not known
,,,,,,
A00665,title not known,"Watercolour, graphite and ink on paper",,,"boat, barge, boat, sailing, figure",date not known
,,,,,,
A00666,title not known,Ink and watercolour on paper,,,"boat, rowing, boat, sailing",date not known
,,,,,,
A00667,title not known,Ink and graphite on paper,,,"man, reclining",date not known
,,,,,,
A00668,title not known,"Watercolour, ink and graphite on paper",,,"bank, river, horse, boat, barge, figure, man",date not known
,,,,,,
A00669,title not known,Ink and graphite on paper,,,"girl, group, sitting, wooded",date not known
,,,,,,
A00670,title not known,"Ink, watercolour and graphite on paper",,,"basket, carrying, walking, woman",date not known
,,,,,,
A00671,title not known,"Ink, graphite and watercolour on paper",,,"cart, cliff, horse, man",date not known
,,,,,,
A00672,title not known,Ink and graphite on paper,,,"bending forward, man, hammer, labourer",date not known
,,,,,,
A00673,title not known,Watercolour and graphite on paper,,,"man, sitting, name of sitter, soldier",date not known
,,,,,,
A00674,title not known,Ink and graphite on paper,,,"boy, girl, man, woman, instrument, drum, music, townscape",date not known
,,,,,,
A00675,title not known,"Watercolour, ink and graphite on paper",,,"group, man, reclining, standing, horse, tree, soldier",date not known
,,,,,,
A00676,title not known,Ink on paper,,,"group, man, hat, uniform / kit, horse, riding, soldier",date not known
,,,,,,
A00677,title not known,Ink and graphite on paper,,,"group, lying down, man, hat, uniform / kit, horse, soldier",date not known
,,,,,,
A00678,title not known,Ink on paper,,,"baby, man, woman, sitting, mother and child",date not known
,,,,,,
A00679,title not known,Ink and graphite on paper,,,"baby, carrying, standing, woman",date not known
,,,,,,
A00680,title not known,"Watercolour, ink and graphite on paper",,,"boat, sailing, figure, house, residential, river, wooded",date not known
,,,,,,
A00681,title not known,Watercolour on paper,,,"boat, sailing, boatman, figure",date not known
,,,,,,
A00682,title not known,Ink and watercolour on paper,,,"baby, carrying, man, woman, basket",date not known
,,,,,,
A00683,title not known,Watercolour and ink on paper,,,"boat, sailing, coast, rocky, figure",date not known
,,,,,,
A00684,title not known,Watercolour and graphite on paper,,,"group, sitting, woman, tree",date not known
,,,,,,
A00685,title not known,Watercolour and graphite on paper,,,"basket, cloak, hat, cap, umbrella, dog - non-specific, man, woman",date not known
,,,,,,
A00686,title not known,"Watercolour, graphite and ink on paper",,,"Gothic, church, market, basket, man, woman",date not known
,,,,,,
A00687,title not known,"Watercolour, graphite and ink on paper",,,"cloak, sitting, woman",date not known
,,,,,,
A00688,title not known,"Ink, graphite and gouache on paper",,,"group, man, woman, sitting, hat, bonnet",date not known
,,,,,,
A00689,title not known,Watercolour and gouache on paper,,,"boat, sailing, figure",date not known
,,,,,,
A00690,title not known,Watercolour and ink on paper,,,"Brighton - non-specific, England, Sussex, East, beach, sea, boat, sailing, reclining, woman",date not known
,,,,,,
A00691,title not known,Ink and graphite on paper,,,"boy, girl, group, sitting, standing, woman, rocky",date not known
,,,,,,
A00692,title not known,Watercolour and graphite on paper,,,"cave, cliff, man, standing",date not known
,,,,,,
A00693,title not known,"Ink, watercolour and graphite on paper",,,"arm/arms raised, arms folded, hand/hands on hip, looking down, standing, group, man, woman",date not known
,,,,,,
A00694,title not known,"Ink, watercolour and graphite on paper",,,"fence, head in hand/hands, sitting, man",date not known
,,,,,,
A00695,title not known,"Graphite, ink, gouache and watercolour on paper",,,"chair, easel, drawing, group, man, woman, sitting",date not known
,,,,,,
A00696,title not known,Watercolour and graphite on paper,,,"horse, stable",date not known
,,,,,,
A00697,title not known,Watercolour on paper,,,"Berkshire, England, Windsor, Windsor Castle, interior - non-specific, medieval, window, sitting, woman, table, wooded",date not known
,,,,,,
A00698,title not known,Watercolour and graphite on paper,,,"deck, rigging, ship, sailing, man",date not known
,,,,,,
A00699,title not known,Watercolour and ink on paper,,,"bucket, tool, deck, ship, sailing, group, man, sailor, soldier",date not known
,,,,,,
A00700,title not known,Ink and graphite on paper,,,"basket, hat, cap, boy, sitting",date not known
,,,,,,
A00701,title not known,Ink and graphite on paper,,,"lying down, man, sleeping",date not known
,,,,,,
A00702,Low Life,Oil paint on mahogany,Victorian/Genre,19th century,"class, cup / mug, pipe, dog - non-specific, door","1829, exhibited 1831"
,,,,,,
A00703,High Life,Oil paint on mahogany,Victorian/Genre,19th century,"candle, candlestick, chair, desk, quill pen, scroll, class, dog, deerhound, living room","1829, exhibited 1831"
,,,,,,
A00704,title not known,Bronze,,,"head / face, man, name",date not known
,,,,,,
A00705,title not known,Bronze,,,"Manning, Henry Edward, Cardinal, head / face, individuals: male, man, archbishop, hat, cap, name of sitter",date not known
,,,,,,
A00706,title not known,Bronze,,,"head / face, man, name",date not known
,,,,,,
A00707,title not known,Bronze,,,"Gladstone, William Ewart, head / face, individuals: male, man, name of sitter, politician, prime minister",date not known
,,,,,,
A00708,title not known,Bronze,,,"Mill, John Stuart, head / face, individuals: male, man, author, philosopher, name of sitter",date not known
,,,,,,
A00709,title not known,Bronze,,,"hat, cap, head / face, woman, name",date not known
,,,,,,
A00710,title not known,Bronze,,,"head / face, man, name",date not known
,,,,,,
A00711,title not known,Bronze,,,"figure, head / face",date not known
,,,,,,
A00712,title not known,Bronze,,,"hat, cap, head / face, man",date not known
,,,,,,
A00713,title not known,Bronze,,,"hat, cap, head / face, man, name",date not known
,,,,,,
A00714,title not known,Bronze,,,"hat, cap, head / face, man, name",date not known
,,,,,,
A00715,title not known,Bronze,,,"figure, head / face",date not known
,,,,,,
A00716,title not known,Bronze,,,"hat, cap, head / face, man, name",date not known
